Date,Mean Temperature,Max Temperature,Min Temperature,Heating Degree Days, Dew Point, Average Humidity, Max Humidity, Minimum Humidity, Precipitation, Sea Level Pressure, Average Wind Speed, Maximum Wind Speed, Visibility, Events
18/8/1,75,83,67,0,N/A,N/A,N/A,N/A,0.15,N/A,N/A,N/A,N/A,N/A
18/8/2,75,83,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/3,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/4,75,83,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/5,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/6,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/7,75,83,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/8,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/9,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/10,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/11,75,83,67,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/12,75,83,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/13,75,83,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/14,75,82,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/15,75,82,67,0,N/A,N/A,N/A,N/A,0.14,N/A,N/A,N/A,N/A,N/A
18/8/16,74,82,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/17,74,82,67,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/18,74,82,66,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/19,74,82,66,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/20,74,82,66,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/21,74,82,66,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/22,74,82,66,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/23,74,82,66,0,N/A,N/A,N/A,N/A,0.11,N/A,N/A,N/A,N/A,N/A
18/8/24,73,82,65,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/25,73,81,65,0,N/A,N/A,N/A,N/A,0.11,N/A,N/A,N/A,N/A,N/A
18/8/26,73,81,65,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/27,73,81,65,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
18/8/28,73,81,65,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/29,73,81,64,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/30,72,81,64,0,N/A,N/A,N/A,N/A,0.12,N/A,N/A,N/A,N/A,N/A
18/8/31,72,80,64,0,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,N/A,N/A
